y_true,y_pred
784.38,668.40906
502.69,636.3015
824.97,678.7085
1106.47,945.8876
1127.94,1038.5969
1051.4,1046.6583
1007.95,927.33417
772.35,724.05884
605.39,629.04956
772.99,674.2384
613.93,680.7031
859.13,690.88086
721.69,774.8782
1022.7,874.8039
663.82,784.16956
929.5,700.5097
790.34,661.2273
641.4,553.37463
453.58,457.51187
272.78,362.21204
293.09,330.68506
487.78,313.99057
398.34,314.11142
232.83,324.8877
523.32,365.04736
581.43,481.97296
491.38,557.0515
541.45,586.006
727.86,553.8103
443.73,505.35706
396.68,477.54218
674.7,463.91266
494.45,451.6037
323.01,424.41867
376.47,409.17853
602.73,449.51263
429.68,429.28137
383.86,370.5912
375.18,304.63312
321.11,320.59485
445.21,381.61188
484.44,452.47583
618.11,515.3714
604.76,538.87195
561.76,568.91766
761.14,604.73914
745.82,615.9501
637.57,591.4794
483.83,539.1596
667.86,567.83295
815.36,678.06836
812.74,742.9011
762.29,721.02203
659.48,714.15857
750.96,593.9642
515.47,549.35046
565.16,611.4156
898.28,738.3548
851.67,769.17474
685.91,634.46704
495.43,520.9668
486.62,422.2434
421.79,386.632
430.48,397.18167
458.0,441.26416
596.74,495.90552
543.29,504.37842
446.51,445.4252
528.83,423.5517
463.28,443.34756
483.16,443.31003
530.22,466.4263
532.84,464.6587
515.53,458.4708
472.75,443.32935
496.36,456.74707
585.12,504.15515
592.19,536.53986
554.31,549.11426
651.71,544.54614
555.36,559.44226
734.54,602.29517
623.46,596.6727
514.11,522.8268
603.33,491.25708
539.52,518.06903
621.19,523.8199
567.01,503.19354
525.35,474.1035
442.34,454.77728
540.03,455.72693
594.59,460.46545
486.07,427.636
451.98,398.95416
396.12,379.38647
445.77,449.63953
639.36,599.4492
867.68,785.3088
937.45,903.2512
985.4,880.7042
754.77,707.5736
515.24,528.61194
415.1,379.21735
442.91,345.14304
349.02,302.72144
397.09,301.55493
303.39,274.13138
405.33,293.6848
401.15,366.60446
416.9,442.48608
640.15,541.0841
556.03,578.6029
735.48,772.2964
1000.16,810.9029
580.21,685.3796
300.73,323.1678
280.79,238.06747
307.5,231.78442
592.34,445.04395
465.21,401.15216
407.43,366.30573
471.77,366.20883
310.35,322.09396
418.37,304.66522
438.05,356.2715
531.28,417.26276
676.37,463.64355
471.45,465.37946
394.76,590.1046
818.36,603.2417
1077.01,843.72345
385.69,608.3273
-0.92,-13.675354
-0.6,-178.57117
-0.47,-43.721863
441.98,472.79987
874.32,731.41113
1100.1,904.01904
768.38,820.93555
1251.72,941.53235
1293.78,1299.2456
1466.39,1390.2743
1408.87,1318.7456
1458.49,1266.2146
1091.72,1118.8286
1214.5,1036.5918
1310.03,1075.5009
1024.65,1142.3806
1806.5,1426.1521
1401.75,1503.9089
1068.21,1154.661
1181.93,935.92255
876.79,832.8745
1424.33,1174.6377
1163.24,1210.4248
1066.97,1001.77936
1203.51,1004.308
1150.45,1034.6521
1056.66,945.4241
1011.22,939.8779
968.27,940.6765
1243.07,1038.4033
1247.06,1242.1348
1636.59,1420.7612
1257.98,1377.2572
1541.98,1412.327
1769.13,1507.399
1450.58,1523.7654
1679.08,1473.9702
1629.23,1429.0011
1539.93,1398.6111
1378.94,1385.9858
1415.98,1452.0162
1868.73,1647.6503
1852.54,1771.948
1841.41,1703.303
1520.61,1576.4122
1692.94,1598.4486
1908.66,1619.3848
1797.34,1702.5815
1567.04,1787.416
1720.13,1771.761
2017.25,1564.1067
1566.63,1533.8589
1267.52,1468.9512
2035.01,1656.2844
2039.87,1944.418
1923.63,2003.5259
2037.21,1931.1162
1962.47,1892.826
1996.82,1942.9812
2030.47,1927.2303
1837.5,1925.8134
1954.87,1839.2601
2001.14,1950.6111
1983.81,1984.2266
2004.48,1896.3923
1822.83,1716.884
1755.65,1473.6888
787.26,963.60815
358.32,672.4178
775.19,758.2098
1495.74,980.0558
1724.94,1286.49
1753.25,1343.4656
1215.88,1404.7827
1319.95,1351.4515
1555.75,1313.1016
1185.22,1212.4519
1192.08,1137.7434
1234.6,1229.9132
1350.43,1233.6501
1469.19,1426.5557
1721.85,1672.9578
1892.55,1803.3604
1919.48,1767.8872
1705.95,1708.2979
1618.88,1575.7708
1726.47,1547.4052
1691.2,1543.316
1475.76,1530.6293
1586.54,1488.5225
1394.07,1415.3552
1854.85,1631.6138
1713.84,1716.4985
1778.0,1568.5759
1481.38,1508.437
1530.56,1445.5525
1595.62,1403.7266
1503.53,1585.9203
1592.57,1604.7463
1613.9,1328.6018
875.85,1062.5964
1410.52,1057.2373
1486.93,1416.0718
1474.21,1553.4515
1784.09,1673.7244
1673.4,1566.569
1759.11,1708.2202
1827.81,1655.9081
1480.74,1513.5955
1506.61,1329.3916
1327.82,1250.8699
1191.13,1102.5442
976.87,949.4691
1411.38,1201.1375
1456.03,1540.4819
1716.6,1582.1008
1635.61,1579.2434
1833.08,1634.214
1488.21,1489.2727
1246.61,1322.7708
1522.2,1318.5068
1636.51,1400.3058
1233.97,1362.6488
1445.41,1203.6123
1309.75,1140.415
1158.93,1054.022
971.53,970.9748
910.73,851.94867
869.24,724.1018
703.25,599.4245
573.85,476.0423
473.58,408.35413
542.14,432.11316
623.21,506.0733
566.96,521.7605
592.57,493.97083
567.49,437.2347
515.92,402.12604
405.24,349.1328
564.7,364.97174
504.56,493.01788
746.82,557.161
533.87,552.51245
880.31,599.5762
554.96,631.77405
669.08,602.9783
818.45,600.59827
731.44,579.0177
760.3,599.7771
614.25,508.60233
504.4,560.0204
514.34,607.9561
736.49,721.4153
1160.76,865.48346
644.87,791.15076
594.84,455.5962
645.11,401.60815
545.63,526.82367
903.47,969.3042
1563.55,1359.1565
1913.73,1671.4963
1737.55,1755.8513
1940.14,1759.7345
1936.75,1716.8457
1705.65,1708.1926
1901.64,1754.1964
1731.01,1667.9708
1922.13,1739.6564
1961.08,1869.0559
1932.26,1834.4899
1876.08,1757.8638
1797.55,1763.4453
1791.66,1752.5618
1848.86,1779.7708
1862.24,1824.7313
1988.68,1805.1807
1768.2,1711.9404
1442.64,1448.886
1267.44,1237.2554
1067.88,1072.1558
1269.13,1022.43567
866.38,991.47095
957.11,990.6626
1374.77,1102.7047
1105.03,1149.0111
1073.83,1105.2319
1173.63,1056.9117
1169.8,1074.2048
1191.92,1052.4948
1098.63,1082.363
1305.33,1081.8387
991.09,1002.0831
742.67,697.02954
757.12,639.88086
766.91,700.2242
870.01,751.0028
1008.25,928.35046
1135.41,1102.0522
1465.74,1388.586
1669.94,1496.7537
1314.82,1445.654
1371.91,1155.4836
1181.04,1023.7866
947.58,1020.6503
1432.74,1155.9949
1255.32,1361.0883
1582.87,1354.928
1524.08,1438.3279
1742.64,1590.6804
1603.2,1530.0331
1708.14,1551.8071
1647.27,1584.7777
